epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,711.463,1.31446,1.11254,0.01669,0.82006,0.6497,0.74513,0.41335,1.53776,1.21511,0.03087,0.00068325,0.00068325,0.00068325
167,715.834,1.30379,1.13283,0.01665,0.73759,0.66498,0.67728,0.38715,1.56623,1.29899,0.03151,0.0006783,0.0006783,0.0006783
168,720.292,1.32863,1.14254,0.01635,0.79638,0.63814,0.67536,0.3716,1.66978,1.35737,0.03512,0.00067335,0.00067335,0.00067335
169,724.558,1.29756,1.07318,0.0166,0.76114,0.65175,0.69027,0.38608,1.55126,1.41331,0.03137,0.0006684,0.0006684,0.0006684
170,728.735,1.28396,1.06484,0.01573,0.7691,0.63077,0.70103,0.41155,1.4671,1.36363,0.0287,0.00066345,0.00066345,0.00066345
171,733.039,1.30444,1.133,0.01612,0.74151,0.6273,0.69859,0.40781,1.51219,1.34384,0.03025,0.0006585,0.0006585,0.0006585
172,737.151,1.29503,1.10905,0.01695,0.77192,0.65093,0.69993,0.38812,1.57411,1.30822,0.0314,0.00065355,0.00065355,0.00065355
173,741.457,1.26838,1.07651,0.01612,0.79994,0.59031,0.69762,0.3885,1.58149,1.33007,0.03234,0.0006486,0.0006486,0.0006486
174,746.132,1.26242,1.13276,0.01558,0.79718,0.60543,0.70607,0.39932,1.5779,1.40416,0.03323,0.00064365,0.00064365,0.00064365
175,750.405,1.25077,1.01032,0.01595,0.73463,0.66484,0.71489,0.41415,1.49732,1.30099,0.03096,0.0006387,0.0006387,0.0006387
176,754.376,1.26204,1.06633,0.01664,0.69992,0.68921,0.71071,0.39817,1.52947,1.30773,0.03139,0.00063375,0.00063375,0.00063375
177,758.538,1.26719,1.09829,0.01543,0.78424,0.63518,0.70671,0.38385,1.54968,1.39855,0.03207,0.0006288,0.0006288,0.0006288
178,762.598,1.29334,1.09547,0.01629,0.7147,0.62345,0.66624,0.36922,1.62465,1.33503,0.03436,0.00062385,0.00062385,0.00062385
179,767.154,1.25832,1.08461,0.0155,0.79312,0.58296,0.66967,0.38937,1.56833,1.34991,0.03268,0.0006189,0.0006189,0.0006189
180,771.347,1.22595,1.16659,0.01584,0.72557,0.6261,0.67918,0.38891,1.59787,1.25242,0.03296,0.00061395,0.00061395,0.00061395
181,775.462,1.24951,1.0688,0.01507,0.78271,0.63619,0.71109,0.40355,1.52076,1.30736,0.03101,0.000609,0.000609,0.000609
