epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,344.469,1.26855,0.97087,0.01527,0.70599,0.63611,0.65568,0.36298,1.65652,1.31187,0.03498,0.00087135,0.00087135,0.00087135
129,347.107,1.2756,0.89438,0.01498,0.71458,0.64288,0.66005,0.36916,1.64559,1.19799,0.0341,0.0008664,0.0008664,0.0008664
130,349.668,1.29212,0.95368,0.01521,0.82491,0.60349,0.6707,0.3631,1.64072,1.29217,0.03437,0.00086145,0.00086145,0.00086145
131,352.307,1.24529,0.93643,0.0153,0.73235,0.6514,0.67552,0.37446,1.61086,1.28313,0.03364,0.0008565,0.0008565,0.0008565
132,354.85,1.23228,0.90767,0.01494,0.73901,0.65117,0.68774,0.35973,1.64055,1.24091,0.03359,0.00085155,0.00085155,0.00085155
133,357.444,1.21405,0.86727,0.01432,0.75562,0.62557,0.65657,0.33426,1.63592,1.31606,0.03284,0.0008466,0.0008466,0.0008466
134,360.347,1.25103,0.92415,0.01505,0.81356,0.60037,0.66662,0.34606,1.74733,1.33919,0.03582,0.00084165,0.00084165,0.00084165
135,362.88,1.23841,0.92781,0.01614,0.78846,0.60328,0.65206,0.32287,1.79926,1.36481,0.03888,0.0008367,0.0008367,0.0008367
136,365.361,1.20378,0.85816,0.01567,0.83788,0.5901,0.64317,0.34033,1.73961,1.35248,0.03663,0.00083175,0.00083175,0.00083175
137,367.846,1.25688,0.91189,0.01456,0.79453,0.64146,0.68472,0.35342,1.75948,1.27167,0.03619,0.0008268,0.0008268,0.0008268
138,370.226,1.26695,0.88384,0.01539,0.74563,0.62874,0.66301,0.35464,1.74264,1.23768,0.03581,0.00082185,0.00082185,0.00082185
139,372.807,1.27499,0.86206,0.01584,0.74989,0.65343,0.65717,0.36754,1.70992,1.22606,0.03579,0.0008169,0.0008169,0.0008169
140,375.441,1.20541,0.81955,0.01427,0.72539,0.62865,0.66707,0.36075,1.67783,1.30869,0.03608,0.00081195,0.00081195,0.00081195
141,377.891,1.2069,0.9254,0.0153,0.69769,0.62185,0.64887,0.37236,1.66377,1.3041,0.03549,0.000807,0.000807,0.000807
142,380.327,1.23639,0.87765,0.01564,0.82495,0.57558,0.65717,0.35361,1.64144,1.43523,0.03357,0.00080205,0.00080205,0.00080205
143,382.771,1.2025,0.82611,0.0149,0.71699,0.62917,0.65045,0.34769,1.62832,1.43573,0.03251,0.0007971,0.0007971,0.0007971
144,385.645,1.24077,0.92318,0.01593,0.7572,0.65406,0.66598,0.34197,1.61573,1.36683,0.03345,0.00079215,0.00079215,0.00079215
145,388.173,1.23835,0.89518,0.01531,0.7382,0.64353,0.65942,0.33766,1.63461,1.38697,0.03289,0.0007872,0.0007872,0.0007872
146,390.643,1.21082,0.83,0.01412,0.7184,0.58553,0.61135,0.31488,1.59766,1.45317,0.03136,0.00078225,0.00078225,0.00078225
147,393.111,1.20163,0.86352,0.01499,0.74784,0.59222,0.64643,0.306,1.70932,1.44146,0.03358,0.0007773,0.0007773,0.0007773
148,395.597,1.1968,0.89784,0.0148,0.77464,0.58229,0.63214,0.32316,1.73416,1.48112,0.03429,0.00077235,0.00077235,0.00077235
149,398.014,1.26702,0.91519,0.01486,0.71573,0.57983,0.59262,0.31121,1.79486,1.49189,0.03702,0.0007674,0.0007674,0.0007674
150,400.706,1.22217,0.91797,0.01413,0.7776,0.55322,0.61604,0.30528,1.78817,1.51376,0.03634,0.00076245,0.00076245,0.00076245
151,403.262,1.23158,0.85274,0.01433,0.79325,0.56209,0.62403,0.31821,1.63352,1.53163,0.03289,0.0007575,0.0007575,0.0007575
152,405.754,1.22311,0.89928,0.01463,0.79141,0.5913,0.61324,0.33382,1.57465,1.57456,0.03152,0.00075255,0.00075255,0.00075255
153,408.318,1.20627,0.84352,0.01383,0.77926,0.60606,0.62815,0.33311,1.60064,1.48236,0.03138,0.0007476,0.0007476,0.0007476
154,410.885,1.16316,0.77858,0.01329,0.68006,0.66056,0.65067,0.33418,1.63804,1.40164,0.03438,0.00074265,0.00074265,0.00074265
155,413.871,1.20117,0.83114,0.01432,0.80876,0.61036,0.66651,0.34019,1.71953,1.39728,0.03543,0.0007377,0.0007377,0.0007377
156,416.411,1.21563,0.87263,0.01436,0.67499,0.62979,0.62829,0.32049,1.6895,1.41157,0.03553,0.00073275,0.00073275,0.00073275
157,418.857,1.18118,0.83628,0.0137,0.76511,0.64753,0.64746,0.32821,1.68169,1.42492,0.03569,0.0007278,0.0007278,0.0007278
158,421.327,1.16018,0.82618,0.0146,0.77947,0.63119,0.65685,0.34744,1.60624,1.33979,0.03356,0.00072285,0.00072285,0.00072285
159,423.926,1.22301,0.84039,0.01375,0.80585,0.60364,0.6446,0.3496,1.55109,1.44526,0.03194,0.0007179,0.0007179,0.0007179
